Horário,Campeonato,Time Casa,Time Fora,Odd Casa,Odd Empate,Odd Fora,Mercados,Link_Partida
"hoje, 21:30",Copa Libertadores - Qualificações,The Strongest,Bahia,1.48,4.6,6.0,266,https://superbet.bet.br/evento/the-strongest-bahia-7197963?t=offer-prematch-389&marketGroup=-2
"hoje, 21:30",Copa Libertadores - Qualificações,Alianza Lima,CA Boca Juniors,2.9,2.9,2.7,266,https://superbet.bet.br/evento/alianza-lima-ca-boca-juniors-7477258?t=offer-prematch-389&marketGroup=-2
